fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,www.medequip.com,159.203.124.37,medequip.com,ns4.corecommhosting.com,
hyphenation,www.med-equip.com,3.130.204.160,nsg1.namebrightdns.com,,
addition,www.medequipe.com,217.160.223.150,,,
addition,www.medequips.com,64.190.63.111,localhost,ns1.sedoparking.com,
addition,www.medequipt.com,15.197.148.33,medequipt-com.mail.protection.outlook.com,ns31.domaincontrol.com,
bitsquatting,www.medequit.com,15.197.148.33,ns09.domaincontrol.com,,
insertion,www.medetech.com,184.168.55.1,,,
bitsquatting,www.medexplora.com,34.149.87.45,,,
*original,www.medexplore.com,15.197.142.173,ns71.domaincontrol.com,,
hyphenation,www.med-explore.com,142.250.138.121,2607:f8b0:4023:1006::79,,
addition,www.medexplorer.com,184.68.222.51,mx1c11.megamailservers.com,ns57.domaincontrol.com,
subdomain,www.medgu.ardinsurance.com,3.94.41.167,nsg1.namebrightdns.com,,
subdomain,www.medgua.rdinsurance.com,3.130.204.160,nsg1.namebrightdns.com,,
subdomain,www.medguardi.nsurance.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
subdomain,www.medguardin.surance.com,15.197.204.56,ns1.smartname.com,,
subdomain,www.medguardins.urance.com,104.247.82.171,ns1.parkingcrew.net,,
subdomain,www.medguardinsuran.ce.com,104.247.81.51,mail.h-email.net,ns1.parkingcrew.net,
homoglyph,www.mediequip.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
replacement,www.medihealth.com,199.59.243.225,,,
vowel-swap,www.mediquip.com,18.233.251.213,,,
homoglyph,www.meditech.com,34.107.130.189,alt1.aspmx.l.google.com,pdns07.domaincontrol.com,
vowel-swap,www.medixplore.com,198.54.117.242,failed-whois-verification.namecheap.com,,
subdomain,www.medlegaladvo.cates.com,104.21.89.211,2606:4700:3035::ac43:935a,,
homoglyph,www.medltech.com,18.119.154.66,nsg1.namebrightdns.com,,
vowel-swap,www.medoquip.com,208.91.197.27,,,
omission,www.medquip.com,108.163.247.67,,,
replacement,www.medrech.com,159.69.173.189,mx.zoho.in,ns1.he.net,
insertion,www.medstech.com,50.226.239.65,,,
bitsquatting,www.medtach.com,199.34.228.78,medtach-com.mail.protection.outlook.com,ns1.hostpapa.com,
homoglyph,www.medtec1.com,103.224.212.216,park-mx.above.com,ns1.abovedomains.com,
*original,www.medtech.com,208.91.197.27,,,
hyphenation,www.med-tech.com,92.205.15.237,cloud15.spamtitan.com,ns51.domaincontrol.com,
addition,www.medtech1.com,104.21.63.134,2606:4700:3030::ac43:91c7,,
addition,www.medtech3.com,198.185.159.144,,,
addition,www.medtech7.com,15.197.142.173,ns31.domaincontrol.com,,
addition,www.medtecha.com,15.197.148.33,medtecha-com.mail.protection.outlook.com,ns73.domaincontrol.com,
various,www.medtechcom.com,142.252.240.146,,,
addition,www.medteche.com,173.254.41.198,mail.medteche.com,ns1.hostmonster.com,
addition,www.medtechi.com,13.248.243.5,medtechi-com.mail.protection.outlook.com,ns57.domaincontrol.com,
addition,www.medtechn.com,104.21.49.31,2606:4700:3035::6815:311f,,
addition,www.medtechs.com,15.197.148.33,medtechs-com.mail.protection.outlook.com,ns15.domaincontrol.com,
addition,www.medtechv.com,15.197.142.173,alt1.aspmx.l.google.com,ns45.domaincontrol.com,
addition,www.medtechx.com,89.46.108.50,,,
addition,www.medtechy.com,104.21.19.16,2606:4700:3034::6815:1310,,
omission,www.medteh.com,199.59.243.225,,,
bitsquatting,www.medtuch.com,104.21.31.225,2606:4700:3032::6815:1fe1,,
omission,www.medxplore.com,194.63.249.212,2a01:5b40:0:4a01:0:7a42:b28d:279e,,
insertion,www.medxtech.com,15.197.148.33,mailstore1.secureserver.net,ns19.domaincontrol.com,
insertion,www.medytech.com,199.188.201.33,alt1.aspmx.l.google.com,dns1.namecheaphosting.com,
replacement,www.medzech.com,92.205.48.94,2a00:1169:103:9b80::,,
insertion,www.medzequip.com,15.197.148.33,ns75.domaincontrol.com,,
insertion,www.medztech.com,15.197.148.33,mailstore1.secureserver.net,ns13.domaincontrol.com,
insertion,www.meedtech.com,162.215.118.0,mail.meedtech.com,ns1.speedydns.net,
omission,www.meequip.com,156.255.39.13,,,
bitsquatting,www.meetech.com,145.131.10.226,2001:678:76c:3760:301::9,,
omission,www.meexplore.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.meftech.com,199.59.243.225,,,
bitsquatting,www.meltech.com,15.197.142.173,alt1.aspmx.l.google.com,ns61.domaincontrol.com,
replacement,www.merequip.com,142.250.138.121,2607:f8b0:4002:c02::79,,
replacement,www.mertech.com,199.60.103.227,2606:2c40::c73c:671d,,
insertion,www.mesdtech.com,104.21.56.6,2606:4700:3035::6815:3806,,
replacement,www.mestech.com,66.45.246.141,,,
omission,www.metech.com,162.241.216.131,alt1.aspmx.l.google.com,ns33.domaincontrol.com,
bitsquatting,www.mettech.com,107.161.32.230,mettech-com.mail.protection.outlook.com,ns1.ispcontrol.net,
replacement,www.mextech.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.mgdtech.com,3.18.7.81,nsg1.namebrightdns.com,,
vowel-swap,www.midequip.com,162.241.224.152,mail.midequip.com,ns1.bluehost.com,
vowel-swap,www.midtech.com,72.52.179.174,mx156.hostedmxserver.com,ns4.dnsauthority.com,
subdomain,www.min.dbalance.com,159.89.244.183,,,
omission,www.minbalance.com,209.151.145.3,2604:ed40:1000:1711:c83b:79ff:fe45:202a,,
subdomain,www.mind.balance.com,12.13.211.113,,,
subdomain,www.mindbalan.ce.com,104.247.81.51,mail.h-email.net,ns1.parkingcrew.net,
*original,www.mindbalance.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
hyphenation,www.mind-balance.com,13.248.169.48,ns3.afternic.com,,
addition,www.mindbalanced.com,35.225.102.92,alt1.aspmx.l.google.com,ns71.domaincontrol.com,
addition,www.mindbalancer.com,34.149.87.45,,,
addition,www.mindbalances.com,34.149.87.45,,,
vowel-swap,www.mindbulance.com,15.197.148.33,ns33.domaincontrol.com,,
bitsquatting,www.mintbalance.com,23.195.213.4,,,
bitsquatting,www.mmdtech.com,72.167.69.89,alt1.aspmx.l.google.com,ns1.tsohost.co.uk,
homoglyph,www.mmedequip.com,15.197.142.173,mailstore1.secureserver.net,ns41.domaincontrol.com,
homoglyph,www.mmedtech.com,194.150.113.21,,,
vowel-swap,www.modtech.com,97.74.211.77,,,
replacement,www.mrdtech.com,52.58.78.16,,,
insertion,www.mredtech.com,64.190.63.111,,,
replacement,www.msdtech.com,64.190.63.111,localhost,ns1.sedoparking.com,
bitsquatting,www.mudtech.com,15.197.142.173,smtp.inetwebusa.com,ns69.domaincontrol.com,
replacement,www.mwdtech.com,34.205.242.146,nsg1.namebrightdns.com,,
replacement,www.mzdtech.com,113.105.159.103,,,
homoglyph,www.ncdtech.com,72.250.162.150,,,
subdomain,www.ne.uropulse.com,208.91.197.27,,,
replacement,www.nearwell.com,3.94.41.167,nsg1.namebrightdns.com,,
homoglyph,www.nebtech.com,94.23.64.16,2001:41d0:1:1b00:94:23:64:16,,
homoglyph,www.nedtech.com,86.105.245.69,,,
omission,www.neropulse.com,3.94.41.167,nsg1.namebrightdns.com,,
subdomain,www.neu.ropulse.com,75.2.37.224,ns1.ibspark.com,,
subdomain,www.neur.opulse.com,159.89.244.183,,,
vowel-swap,www.neurapulse.com,3.64.163.50,ns1.dan.com,,
subdomain,www.neurop.ulse.com,64.190.63.111,localhost,ns1.sedoparking.com,
omission,www.neuropuls.com,81.169.145.86,2a01:238:20a:202:1086::,smtpin.rzone.de,docks13.rzone.de
*original,www.neuropulse.com,157.230.161.221,,,
hyphenation,www.neuro-pulse.com,23.227.38.74,,,
addition,www.neuropulsex.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.nitvibe.com,15.197.148.33,ns07.domaincontrol.com,,
homoglyph,www.nmedtech.com,208.109.49.241,mail.nmedtech.com,ns1.mediatemple.net,
subdomain,www.nour.ishmart.com,52.71.57.184,nsg1.namebrightdns.com,,
subdomain,www.nouri.shmart.com,13.248.169.48,ns5.afternic.com,,
subdomain,www.nouris.hmart.com,151.101.1.124,,,
subdomain,www.nourish.mart.com,34.206.39.153,,,
omission,www.nourishart.com,15.197.148.33,ns37.domaincontrol.com,,
replacement,www.nourishkart.com,108.138.167.12,mx.zoho.in,ns-1351.awsdns-40.org,
*original,www.nourishmart.com,204.197.250.10,nourishmart.com,ns1.rooted.com,
omission,www.nourishmat.com,198.185.159.144,,,
omission,www.nourismart.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
omission,www.nuropulse.com,91.195.240.19,,,
subdomain,www.oc.cutfit.com,18.119.154.66,domain-for-sale.hugedomainsdns.com,,
subdomain,www.occ.utfit.com,159.89.244.183,,,
omission,www.occufit.com,100.24.208.97,,,
bitsquatting,www.oedtech.com,61.170.81.202,240e:96c:6400:601:3::3f3,,
omission,www.oldenyears.com,23.229.237.226,oldenyears-com.mail.protection.outlook.com,ns47.domaincontrol.com,
subdomain,www.op.tivision.com,64.190.63.111,localhost,ns1.sedoparking.com,
omission,www.opivision.com,209.126.25.179,alt1.aspmx.l.google.com,ns47.domaincontrol.com,
bitsquatting,www.optavision.com,13.248.148.254,,,
subdomain,www.opti.vision.com,141.193.213.10,,,
insertion,www.opticvision.com,64.187.239.229,,,
insertion,www.optikvision.com,185.30.32.183,,,
subdomain,www.optivis.ion.com,64.41.186.27,,,
subdomain,www.optivisi.on.com,104.18.4.176,2606:4700::6812:4b0,,
omission,www.optivisio.com,13.56.33.8,,,
*original,www.optivision.com,70.36.102.203,mail.optivision.com,ns1.dnsowl.com,
hyphenation,www.opti-vision.com,13.248.169.48,ns1.namefind.com,,
addition,www.optivisions.com,18.233.251.213,,,
replacement,www.optovision.com,195.185.184.187,,,
omission,www.optvision.com,217.160.231.143,,,
subdomain,www.orth.ofocus.com,13.248.169.48,ns3.afternic.com,,
subdomain,www.orthof.ocus.com,165.227.246.22,,,
subdomain,www.orthofoc.us.com,45.56.79.23,,,
*original,www.orthofocus.com,95.130.17.35,,,
hyphenation,www.ortho-focus.com,15.197.148.33,orthofocus-com01c.mail.protection.outlook.com,ns57.domaincontrol.com,
bitsquatting,www.padihealth.com,66.29.132.181,mx1-hosting.jellyfish.systems,dns1.namecheaphosting.com,
subdomain,www.pai.nease.com,216.40.34.37,,,
subdomain,www.pain.ease.com,44.208.89.228,,,
homoglyph,www.paincase.com,15.197.148.33,ns67.domaincontrol.com,,
subdomain,www.paine.ase.com,23.253.146.205,,,
*original,www.painease.com,142.250.138.121,2607:f8b0:4023:1006::79,,
addition,www.paineased.com,15.197.142.173,mailstore1.secureserver.net,ns19.domaincontrol.com,
addition,www.paineaser.com,64.190.63.111,localhost,ns1.sedoparking.com,
replacement,www.paineaze.com,15.197.148.33,mx1.improvmx.com,ns33.domaincontrol.com,
insertion,www.painerase.com,13.248.169.48,ns3.afternic.com,,
homoglyph,www.paircase.com,18.119.154.66,nsg1.namebrightdns.com,,
homoglyph,www.pairease.com,91.195.240.19,,,
homoglyph,www.palmease.com,34.205.242.146,nsg1.namebrightdns.com,,
omission,www.panease.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
subdomain,www.path.oview.com,47.242.70.210,,,
subdomain,www.patho.view.com,3.229.159.122,,,
*original,www.pathoview.com,157.90.91.31,,,
omission,www.pathview.com,192.185.159.186,pathview.com,ns1.j3web.com,
omission,www.pdihealth.com,142.93.255.239,d231708a.ess.barracudanetworks.com,ns63.domaincontrol.com,
subdomain,www.pe.dihealth.com,3.64.163.50,ns1.dan.com,,
replacement,www.pedequip.com,15.197.148.33,pedequip-com.mail.protection.outlook.com,ns17.domaincontrol.com,
omission,www.pedhealth.com,13.89.41.168,,,
subdomain,www.pedih.ealth.com,173.255.194.134,,,
subdomain,www.pedihe.alth.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
hyphenation,www.pedi-health.com,34.174.208.47,,,
replacement,www.pedtech.com,162.209.89.41,,,
omission,www.peihealth.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.pelihealth.com,50.63.27.76,alt1.aspmx.l.google.com,ns23.domaincontrol.com,
replacement,www.perihealth.com,198.185.159.144,,,
omission,www.pinealign.com,104.197.104.56,ns6.wixdns.net,,
omission,www.pinease.com,184.107.41.74,alt1.aspmx.l.google.com,ns1.greengeeks.net,
vowel-swap,www.podihealth.com,153.92.6.135,2a02:4780:a:1079:0:1390:fa4f:2,mx1.hostinger.web.tr,ns1.hostinger.web.tr
omission,www.portwell.com,38.88.18.150,,,
insertion,www.predihealth.com,35.234.120.212,,,
subdomain,www.radian.ceimaging.com,18.119.154.66,nsg1.namebrightdns.com,,
subdomain,www.radianc.eimaging.com,199.59.243.225,,,
subdomain,www.radianceima.ging.com,15.197.204.56,ns1.smartname.com,,
*original,www.radianceimaging.com,75.101.136.228,,,
hyphenation,www.radiance-imaging.com,15.197.148.33,ns69.domaincontrol.com,,
bitsquatting,www.rainease.com,62.72.2.221,2a02:4780:b:1158:0:676:65f0:2,mx1.titan.email,ns1.dns-parking.com
subdomain,www.re.habfit.com,13.248.169.48,ns3.afternic.com,,
homoglyph,www.redequip.com,15.197.142.173,mailstore1.secureserver.net,ns05.domaincontrol.com,
homoglyph,www.redexplore.com,13.248.169.48,ns1.namefind.com,,
bitsquatting,www.redihealth.com,141.193.213.10,,,
homoglyph,www.redtech.com,13.65.210.166,,,
bitsquatting,www.rehabbit.com,185.134.245.113,2a01:5b40:0:bc03::1,,
omission,www.rehabfi.com,15.197.148.33,ns21.domaincontrol.com,,
*original,www.rehabfit.com,198.185.159.144,,,
hyphenation,www.rehab-fit.com,15.197.148.33,ns11.domaincontrol.com,,
omission,www.rehabit.com,195.206.168.94,,,
omission,www.rehafit.com,207.148.248.143,,,
replacement,www.rentacare.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
subdomain,www.rheum.ease.com,44.208.89.228,,,
subdomain,www.rheume.ase.com,23.253.146.205,,,
homoglyph,www.rmedtech.com,34.149.87.45,,,
replacement,www.rootvital.com,3.64.163.50,ns1.dan.com,,
replacement,www.ryeview.com,18.119.154.66,domain-for-sale.hugedomainsdns.com,,
subdomain,www.s.portwell.com,38.88.18.150,,,
subdomain,www.senior.companion.com,64.190.63.111,localhost,ns1.sedoparking.com,
subdomain,www.seniorc.ompanion.com,167.86.114.209,,,
subdomain,www.seniorcompan.ion.com,64.41.186.27,,,
subdomain,www.seniorcompani.on.com,104.18.4.176,2606:4700::6812:4b0,,
*original,www.seniorcompanion.com,157.230.161.221,,,
hyphenation,www.senior-companion.com,108.177.122.121,2607:f8b0:4002:c02::79,,
addition,www.seniorcompanions.com,192.99.158.243,,,
replacement,www.sentacare.com,13.248.169.48,ns3.afternic.com,,
subdomain,www.serenit.yhaven.com,3.18.7.81,nsg1.namebrightdns.com,,
bitsquatting,www.serenitihaven.com,104.21.95.73,2606:4700:3030::6815:5f49,,
*original,www.serenityhaven.com,34.149.87.45,,,
hyphenation,www.serenity-haven.com,162.215.226.6,,,
addition,www.serenityhavens.com,198.185.159.144,,,
insertion,www.serenityshaven.com,193.243.189.45,serenityshaven.com,alpha1.kc.epik.com,
omission,www.siftcare.com,50.2.62.74,,,
subdomain,www.sk.invibe.com,23.235.37.119,,,
homoglyph,www.skinnvibe.com,23.227.38.74,,,
subdomain,www.skinv.ibe.com,13.248.169.48,ns1.namefind.com,,
*original,www.skinvibe.com,207.148.248.143,,,
addition,www.skinvibee.com,185.141.134.48,skinvibee.com,ns1.pasargadweb.com,
addition,www.skinvibes.com,159.89.244.183,,,
addition,www.skinvibez.com,34.149.87.45,,,
replacement,www.skinvibz.com,23.227.38.74,,,
bitsquatting,www.skinvice.com,15.197.148.33,ns51.domaincontrol.com,,
omission,www.skinvie.com,18.233.251.213,,,
replacement,www.skinvine.com,13.248.169.48,ns3.afternic.com,,
replacement,www.skinvive.com,159.180.132.181,,,
bitsquatting,www.skinvybe.com,15.197.148.33,ns53.domaincontrol.com,,
subdomain,www.sle.epease.com,47.242.70.210,,,
subdomain,www.sleep.ease.com,44.208.89.228,,,
replacement,www.sleep3ase.com,23.227.38.74,,,
homoglyph,www.sleepcase.com,34.205.242.146,domain-for-sale.hugedomainsdns.com,,
subdomain,www.sleepe.ase.com,23.253.146.205,,,
bitsquatting,www.sleepeace.com,34.149.87.45,,,
hyphenation,www.sleep-ease.com,69.16.195.79,,,
addition,www.sleepeases.com,23.227.38.74,,,
replacement,www.sleepeaze.com,15.197.142.173,ns45.domaincontrol.com,,
omission,www.sleepese.com,172.234.25.151,dns101.registrar-servers.com,,
insertion,www.sleeplease.com,13.248.243.5,alt1.aspmx.l.google.com,ns73.domaincontrol.com,
homoglyph,www.slimvibe.com,3.64.163.50,ns1.dan.com,,
subdomain,www.smilealignort.ho.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
omission,www.sortwell.com,13.248.169.48,ns3.afternic.com,,
subdomain,www.sp.ortwell.com,66.96.160.133,,,
omission,www.spinalign.com,3.94.41.167,nsg1.namebrightdns.com,,
*original,www.spinealign.com,23.227.38.74,,,
hyphenation,www.spine-align.com,15.197.148.33,mailstore1.secureserver.net,ns03.domaincontrol.com,
addition,www.spinealigns.com,15.197.148.33,ns07.domaincontrol.com,,
subdomain,www.spor.twell.com,121.254.178.238,,,
omission,www.sportell.com,3.18.7.81,nsg1.namebrightdns.com,,
bitsquatting,www.sportsell.com,3.18.7.81,domain-for-sale.hugedomainsdns.com,,
insertion,www.sportswell.com,75.2.0.44,ns1.hosting.co.kr,,
bitsquatting,www.sportwall.com,15.197.142.173,mailstore1.secureserver.net,ns63.domaincontrol.com,
omission,www.sportwel.com,15.197.142.173,mailstore1.secureserver.net,ns09.domaincontrol.com,
*original,www.sportwell.com,3.64.163.50,ns1.dan.com,,
hyphenation,www.sport-well.com,217.160.0.178,2001:8d8:100f:f000::200,,
addition,www.sportwelle.com,15.197.148.33,ns41.domaincontrol.com,,
addition,www.sportwells.com,18.119.154.66,nsg1.namebrightdns.com,,
vowel-swap,www.sportwill.com,62.149.128.45,mx.sportwill.com,dns.technorail.com,
omission,www.spotwell.com,159.203.107.49,alt1.aspmx.l.google.com,ns23.domaincontrol.com,
subdomain,www.swi.ftcare.com,159.89.244.183,,,
omission,www.swifcare.com,15.197.148.33,ns77.domaincontrol.com,,
replacement,www.swiftcade.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
replacement,www.swiftcafe.com,13.248.169.48,ns3.afternic.com,,
subdomain,www.swiftcar.eurgent.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.swiftcard.com,15.197.204.56,ns1.smartname.com,,
*original,www.swiftcare.com,15.197.142.173,mailstore1.secureserver.net,ns41.domaincontrol.com,
hyphenation,www.swift-care.com,3.233.126.24,,,
subdomain,www.swiftcare.urgent.com,205.178.189.129,,,
addition,www.swiftcares.com,52.71.57.184,nsg1.namebrightdns.com,,
subdomain,www.swiftcareur.gent.com,15.197.204.56,ns1.smartname.com,,
replacement,www.swiftcars.com,54.86.61.222,swiftcars-com.mail.protection.outlook.com,ns03.domaincontrol.com,
insertion,www.swiftcarte.com,23.227.38.74,,,
replacement,www.swiftcarz.com,139.162.207.21,,,
bitsquatting,www.swiftcase.com,18.238.152.104,,,
bitsquatting,www.swiftcave.com,198.54.114.225,mail.swiftcave.com,dns1.namecheaphosting.com,
vowel-swap,www.swiftcore.com,47.97.117.77,,,
vowel-swap,www.swiftcure.com,87.106.166.1,,,
replacement,www.swiftfare.com,50.97.186.163,alt1.aspmx.l.google.com,ns-1374.awsdns-43.org,
bitsquatting,www.swiftkare.com,104.26.4.30,2606:4700:20::681a:41e,,
insertion,www.swiftycare.com,52.193.90.35,mx.zohomail.com,ns-1346.awsdns-40.org,
bitsquatting,www.swyftcare.com,13.248.243.5,swyftcare-com.mail.protection.outlook.com,ns33.domaincontrol.com,
subdomain,www.tec.hvital.com,62.28.116.244,,,
replacement,www.techgital.com,31.220.110.149,2a02:4780:3:696:0:1d7e:5983:a,alt1.aspmx.l.google.com,ns1.dns-parking.com
omission,www.techital.com,100.24.208.97,,,
subdomain,www.techv.ital.com,35.82.156.63,2600:1f14:ea2:fa00:e21b:246a:4174:fd83,,
omission,www.techvial.com,91.195.240.19,,,
bitsquatting,www.techvidal.com,15.197.148.33,ns15.domaincontrol.com,,
replacement,www.techviral.com,104.21.79.209,2606:4700:3032::ac43:9471,,
omission,www.techvita.com,68.178.246.153,,,
*original,www.techvital.com,15.197.142.173,mailstore1.secureserver.net,ns17.domaincontrol.com,
hyphenation,www.tech-vital.com,13.248.169.48,ns5.afternic.com,,
addition,www.techvitals.com,15.197.148.33,techvitals-com.mail.protection.outlook.com,ns01.domaincontrol.com,
bitsquatting,www.techvitam.com,84.16.76.202,2001:1600:4:13:3648:edff:fef6:5acc,,
omission,www.techvtal.com,35.212.66.35,techvtal-com.mail.protection.outlook.com,ns1.bdm.microsoftonline.com,
omission,www.tecvital.com,13.248.169.48,ns5.afternic.com,,
bitsquatting,www.tedihealth.com,3.94.41.167,nsg1.namebrightdns.com,,
subdomain,www.tel.ecareconnect.com,ns1.namebrightdns.com,,,
subdomain,www.telec.areconnect.com,3.18.7.81,nsg1.namebrightdns.com,,
subdomain,www.teleca.reconnect.com,3.233.30.191,invalid,ns1.listing.is,
subdomain,www.telecare.connect.com,104.18.39.99,2606:4700:4400::6812:2763,,
subdomain,www.telecarec.onnect.com,162.210.196.173,,,
subdomain,www.telecareco.nnect.com,121.254.178.253,,,
hyphenation,www.telecare-connect.com,104.21.32.134,2606:4700:3030::ac43:984a,,
replacement,www.us.ill.com,13.248.169.48,ns1.namefind.com,,
homoglyph,www.us.j1i.com,15.197.204.56,ns01.cashparking.com,,
homoglyph,www.us.j1l.com,75.51.0.155,,,
bitsquatting,www.us.jhl.com,68.117.112.133,,,
homoglyph,www.us.ji1.com,213.138.113.108,,,
insertion,www.us.jkll.com,35.82.156.63,2600:1f14:ea2:fa00:e21b:246a:4174:fd83,,
omission,www.us.jl.com,43.154.4.190,,,
bitsquatting,www.us.jlh.com,38.113.1.102,,,
homoglyph,www.us.jli.com,65.100.40.170,,,
replacement,www.us.jlk.com,192.252.144.24,,,
insertion,www.us.jlkl.com,3.64.163.50,ns1.dan.com,,
*original,www.us.jll.com,23.195.195.180,,,
addition,www.us.jll4.com,169.62.49.90,,,
addition,www.us.jlla.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
addition,www.us.jllc.com,15.197.204.56,ns1.smartname.com,,
addition,www.us.jlle.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
addition,www.us.jllj.com,199.59.243.225,,,
addition,www.us.jllm.com,15.197.172.60,,,
addition,www.us.jllo.com,64.190.63.111,localhost,ns1.sedoparking.com,
addition,www.us.jllq.com,3.64.163.50,ns1.dan.com,,
addition,www.us.jllt.com,205.144.76.114,,,
addition,www.us.jllu.com,64.190.63.111,localhost,ns1.sedoparking.com,
replacement,www.us.jlo.com,192.64.119.254,,,
insertion,www.us.jlol.com,64.190.63.111,localhost,ns1.sedoparking.com,
bitsquatting,www.us.jml.com,192.157.56.141,,,
insertion,www.us.jmll.com,206.188.192.9,,,
insertion,www.us.joll.com,206.180.141.171,,,
bitsquatting,www.us.nll.com,104.26.4.34,2606:4700:20::681a:422,,
replacement,www.us.ull.com,173.255.194.134,ns1.mytrafficmanagement.com,,
various,www.usjll.com,13.248.169.48,ns3.afternic.com,,
replacement,www.veripsych.com,15.197.148.33,ns49.domaincontrol.com,,
replacement,www.veriwell.com,3.98.204.93,mx1.ewebdevelopment.com,ns1.power-dns.com,
bitsquatting,www.vitvibe.com,15.197.204.56,ns01.cashparking.com,,
subdomain,www.well.corephysicians.com,205.178.189.131,,,
subdomain,www.wellcore.physicians.com,52.201.84.29,,,
subdomain,www.wellcorephy.sicians.com,198.54.117.242,failed-whois-verification.namecheap.com,,
subdomain,www.wo.menvibe.com,3.130.204.160,nsg1.namebrightdns.com,,
bitsquatting,www.womanvibe.com,13.248.169.48,ns3.afternic.com,,
subdomain,www.womenv.ibe.com,13.248.169.48,ns1.namefind.com,,
*original,www.womenvibe.com,13.248.169.48,ns3.afternic.com,,
addition,www.womenvibes.com,50.117.62.242,,,
replacement,www.womenvine.com,13.248.169.48,ns1.namefind.com,,
subdomain,www.workpl.acevitality.com,207.148.248.143,,,
subdomain,www.workplacevit.ality.com,66.96.162.200,,,
subdomain,www.workplacevita.lity.com,121.254.178.253,,,
*original,www.workplacevitality.com,209.17.116.163,,,
replacement,www.wyeview.com,88.208.241.186,,,
homoglyph,www.xn--optivisin-d7a.com,15.197.148.33,ns75.domaincontrol.com,,
replacement,www.yearwell.com,3.130.204.160,nsg1.namebrightdns.com,,
replacement,www.zenoinsight.com,50.63.8.227,ns47.domaincontrol.com,,
